Metric,Dataset,Model,Method,ScoreType,Score
BLEU,wmt14_csen,EuroLLM 9B,MCNSE,Detrended,0.17197342015380926
BLEU,wmt14_csen,EuroLLM 9B,LSRL,Raw,0.18913884815907772
BLEU,wmt14_csen,EuroLLM 9B,LSRL,Detrended,0.19272632212726523
BLEU,wmt14_deen,EuroLLM 9B,MSP,Raw,0.24938250617130225
BLEU,wmt14_deen,EuroLLM 9B,MSP,Detrended,0.45976957364348475
BLEU,wmt14_deen,EuroLLM 9B,PPL,Raw,0.4883243326553594
BLEU,wmt14_deen,EuroLLM 9B,PPL,Detrended,0.48880057829037404
BLEU,wmt14_deen,EuroLLM 9B,MTE,Raw,0.4961567924798283
BLEU,wmt14_deen,EuroLLM 9B,MTE,Detrended,0.5031618485549839
BLEU,wmt14_deen,EuroLLM 9B,MCSE,Raw,0.23955631401750088
BLEU,wmt14_deen,EuroLLM 9B,MCSE,Detrended,0.37807778942115217
BLEU,wmt14_deen,EuroLLM 9B,MCNSE,Raw,0.31868832889417753
BLEU,wmt14_deen,EuroLLM 9B,MCNSE,Detrended,0.3189474230126757
BLEU,wmt14_deen,EuroLLM 9B,LSRL,Raw,0.30361636340457393
BLEU,wmt14_deen,EuroLLM 9B,LSRL,Detrended,0.3078349519048266
BLEU,wmt14_ruen,EuroLLM 9B,MSP,Raw,0.26610744036804557
BLEU,wmt14_ruen,EuroLLM 9B,MSP,Detrended,0.30782982944486914
